,slctn_nmbr,clnt_id,accnt_id,gndr,brth_yr,prsnt_age,accnt_bgn_date,cprtn_prd_d,erly_pnsn_flg,accnt_status,pnsn_age,prvs_npf,brth_plc,addrss_type,rgn,dstrct,city,sttlmnt,pstl_code,okato,phn,email,lk,assgn_npo,assgn_ops
244511,0,0xBA33189877605C45BC756BD8847C6277,0x2EACB415223DD740AEB0A078EFE8E66A,м,1953,71,2007-11-23,126,0,Накопительный период,60,СФР,"1,Г.ШИЛКА ЧИТИНСКОЙ ОБЛАСТИ",Адрес места жительства,ЗАБАЙКАЛЬСКИЙ КРАЙ,ШИЛКИНСКИЙ Р-Н,ШИЛКА Г,,673370,76000000000.0,нет,нет,нет,нет,нет
457023,1,0x3AC722A620D49444A2A952114B0F33ED,0xA5C694C791B1AD449103D3F46C64BB0A,ж,1962,62,2013-12-27,486,0,Накопительный период,55,СФР,"0,КИТАЙ, ШАНЬСИ",Адрес по прописке,ЧЕЛЯБИНСКАЯ ОБЛ,,ЧЕЛЯБИНСК Г,,454025,75000000000.0,нет,нет,нет,нет,нет
432135,0,0xB6FC747F0530314D8762FD870E9DCDE7,0xFEE9C69DAFFE4748B37BD794581033A3,ж,1963,61,2006-11-28,115,0,Накопительный период,55,СФР,"1,ГОР. ВЕЛИКИЕ ЛУКИ ПСКОВСКОЙ ОБЛ.",Адрес места жительства,ПСКОВСКАЯ ОБЛ,,ВЕЛИКИЕ ЛУКИ Г,,182100,58000000000.0,нет,нет,нет,нет,нет
298954,1,0xFA9323584E61DC4EA7CE41AFF9894A8D,0x2E2E4FCD2571674D9FE57339601793ED,ж,1960,64,2012-02-29,391,0,Накопительный период,55,СФР,"0,Нижний Тагил Нижнетагильский Свердловской",Адрес по прописке,ТЮМЕНСКАЯ ОБЛ,НИЖНЕТАВДИНСКИЙ Р-Н,,КУНЧУР П,626034,71000000000.0,нет,нет,нет,нет,нет
40532,0,0xA127AC7A776E134E9657458066C00691,0x7F8289F871FE2A4597392D56DA5EBEA3,м,1957,67,2010-09-29,174,0,Накопительный период,60,"НПФ ""УРАЛОБОРОНЗАВОДСКИЙ""","1,Г НИЖНИЙ ТАГИЛ СВЕРДЛОВСКАЯ ОБЛ",Адрес места жительства,СВЕРДЛОВСКАЯ ОБЛ,,НИЖНИЙ ТАГИЛ Г,,622018,65000000000.0,нет,нет,нет,нет,нет
442460,0,0xB481B24667D60D44AA99BBA61CA3E406,0xCA29D3AE5F3C6547A139F86483120231,ж,1954,70,2013-06-27,669,0,Накопительный период,55,СФР,"1,УГОЛЬНЫЕ КОПИ, МАГАДАНСКАЯ ОБЛАСТЬ",Адрес места жительства,САМАРСКАЯ ОБЛ,,КИНЕЛЬ Г,,446430,36000000000.0,нет,нет,нет,нет,нет
260309,1,0xE1C45652CFE7A24189EED80C6FA1AFE1,0xD318B0505A0BD04198A0672D141B8D6A,ж,1964,60,2012-09-17,192,0,Накопительный период,55,СБЕРБАНКА НПФ,"0,ПРОКОПЬЕВСК КЕМЕРОВСКАЯ ОБЛАСТЬ",Адрес по прописке,КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС,,ПРОКОПЬЕВСК Г,,653039,32000000000.0,нет,нет,да,нет,нет
405947,0,0xCA3E49F2C4B424409B2EC4BD87989366,0xB209E61C88E9B145A93F46A59144F47E,м,1958,66,2005-12-01,116,0,Накопительный период,60,СФР,"1,Г.ЛИСКИ ,ВОРОНЕЖСКАЯ ОБЛАСТЬ",Адрес места жительства,ВОРОНЕЖСКАЯ ОБЛ,ЛИСКИНСКИЙ Р-Н,ЛИСКИ Г,,397906,20000000000.0,нет,нет,нет,нет,нет
27574,1,0x93FCAD90FF76FA4E9290AF0BBAB52AEF,0x670666A6293D404AAC53E73456123549,ж,1962,62,2013-12-31,513,0,Накопительный период,55,ОТКРЫТИЕ НПФ,"0,ИРКУТСК ИРКУТСКАЯ ОБЛАСТЬ",Адрес по прописке,ИРКУТСКАЯ ОБЛ,БАЯНДАЕВСКИЙ Р-Н,,БАЯНДАЙ С,669120,25000000000.0,нет,нет,да,нет,нет
239855,2,0x7F3F6BA6EEF72D4FBD61A096038D609F,0x01953D3AC1CF3D4A8235ADA94E5610F9,м,1959,65,2004-09-30,92,0,Накопительный период,60,,"1,ЛЕНИНГРАД",Адрес места жительства,ЛЕНИНГРАДСКАЯ ОБЛ,,СОСНОВЫЙ БОР Г,,188544,41000000000.0,нет,нет,нет,нет,нет
295295,3,0x943D2C768A4FB38311E6621349B8EFB9,0x943D2C768A4FB38311E6621349B8EFBB,ж,1965,59,2012-11-25,121,0,Накопительный период,56,СФР,"1,УФА,,БАШКИРСКАЯ АССР,",Адрес места жительства,БАШКОРТОСТАН РЕСП,,УФА Г,,450073,80000000000.0,нет,нет,да,нет,нет
391163,3,0x943D2C768A4FB38311E65DCFA9655E42,0x943D2C768A4FB38311E65DCFA9655E44,ж,1957,67,2009-09-23,197,0,Накопительный период,55,СФР,"1,УСОЛЬЕ,,ПЕРМСКАЯ ОБЛАСТЬ,",Адрес места жительства,ПЕРМСКИЙ КРАЙ,,БЕРЕЗНИКИ Г,,618419,57000000000.0,нет,нет,нет,нет,нет
175855,0,0xC6D8CAD5B14E8549A8269BF7AA74A167,0xF18034918A50AC4F8D0BE03BF227BFB5,ж,1965,59,2006-06-26,270,0,Накопительный период,56,СФР,"1,ПОС.  КУКУШТАН ПЕРМСКОГО Р-НА ПЕРМСКОЙ ОБЛ.",Адрес места жительства,ПЕРМСКИЙ КРАЙ,ПЕРМСКИЙ Р-Н,,КУКУШТАН П,614540,57000000000.0,нет,нет,да,нет,нет
20155,0,0x5D20C75A2CA77D4EB9B63E52B4CEAA20,0xF7E21FDDC69B384DAB24F4692AC5E8EA,м,1956,68,2010-11-09,133,0,Накопительный период,60,СФР,"1,ПОС.МЕЛЕУЗ МЕЛЕУЗОВСКОГО Р-НА РЕСП. БАШКОРТОСТАН",Адрес места жительства,ЧЕЛЯБИНСКАЯ ОБЛ,,ЧЕЛЯБИНСК Г,,454008,75000000000.0,нет,нет,нет,нет,нет
104241,1,0x37ED1020DF15DE449D2932A1D078EB1B,0x3168F5C057C4FF4BB7BF3339464621F4,ж,1964,60,2010-04-23,333,0,Накопительный период,55,СФР,"0,д.Ключи Базарнокарабулакский район Саратовская область",Адрес по прописке,САРАТОВСКАЯ ОБЛ,БАЗАРНО-КАРАБУЛАКСКИЙ Р-Н,,АЛЕКСЕЕВКА С,412606,63000000000.0,нет,нет,нет,нет,нет
135253,0,0x537A6FF160708846983FB889A3254974,0x08CE71D525B2D94F93D0E79E70EF5E76,ж,1964,60,2006-11-15,128,0,Накопительный период,55,СФР,"1,С.АКСУТКА, КАМЫШИНСКИЙ Р-Н, КИРГИЗСКАЯ ССР",Адрес места жительства,КРАСНОДАРСКИЙ КРАЙ,БЕЛОРЕЧЕНСКИЙ Р-Н,,ЗАРЕЧНЫЙ П,352603,3000000000.0,нет,нет,нет,нет,нет
